,name,symbol,country,indices,industries,symbols,metadata,isins,wiki_name
46,NXP Semiconductors N.V.,NXPI,Netherlands,"['NASDAQ 100', 'S&P 500']","['Technology', 'Technology Equipment', 'Semiconductors & Semiconductor Equipment', 'Semiconductors']","[{'yahoo': 'VNX.F', 'google': 'FRA:VNX', 'currency': 'EUR'}, {'yahoo': 'NXPI', 'google': 'NASDAQ:NXPI', 'currency': 'USD'}, {'yahoo': '0EDE.L', 'google': 'LON:0EDE', 'currency': 'GBP'}]","{'founded': 1953, 'employees': 29000}",[],
47,O'Reilly Automotive Inc.,ORLY,United States,"['NASDAQ 100', 'S&P 500']","['Auto Vehicles, Parts & Service Retailers', 'Retailers', 'Specialty Retailers', 'Consumer Cyclicals']","[{'yahoo': 'OM6.F', 'google': 'FRA:OM6', 'currency': 'EUR'}, {'yahoo': 'ORLY', 'google': 'NASDAQ:ORLY', 'currency': 'USD'}, {'yahoo': '0KAB.L', 'google': 'LON:0KAB', 'currency': 'GBP'}]","{'founded': 1957, 'employees': 82484}",[],
48,PACCAR Inc,PCAR,United States,"['NASDAQ 100', 'S&P 500']","['Industrial Goods', 'Industrials', 'Heavy Machinery & Vehicles', 'Machinery, Equipment & Components']","[{'yahoo': 'PAE.F', 'google': 'FRA:PAE', 'currency': 'EUR'}, {'yahoo': 'PCAR', 'google': 'NASDAQ:PCAR', 'currency': 'USD'}, {'yahoo': '0KET.L', 'google': 'LON:0KET', 'currency': 'GBP'}]","{'founded': 1905, 'employees': 27000}",[],
49,Paychex Inc.,PAYX,United States,"['NASDAQ 100', 'S&P 500']","['Industrials', 'Professional & Commercial Services', 'Employment Services', 'Industrial & Commercial Services']","[{'yahoo': 'PCX.F', 'google': 'FRA:PCX', 'currency': 'EUR'}, {'yahoo': 'PAYX', 'google': 'NASDAQ:PAYX', 'currency': 'USD'}, {'yahoo': '0KGE.L', 'google': 'LON:0KGE', 'currency': 'GBP'}]","{'founded': 1971, 'employees': 14300}",[],
50,PayPal Holdings Inc.,PYPL,United States,"['NASDAQ 100', 'S&P 100', 'S&P 500']","['Technology', 'Software & IT Services', 'Internet Services']","[{'yahoo': '2PP.F', 'google': 'FRA:2PP', 'currency': 'EUR'}, {'yahoo': 'PYPL', 'google': 'NASDAQ:PYPL', 'currency': 'USD'}]","{'founded': 1998, 'employees': 21800}",[],
51,Qualcomm Inc.,QCOM,United States,"['NASDAQ 100', 'S&P 100', 'S&P 500']","['Technology', 'Technology Equipment', 'Semiconductors & Semiconductor Equipment', 'Semiconductors']","[{'yahoo': 'QCI.F', 'google': 'FRA:QCI', 'currency': 'EUR'}, {'yahoo': 'QCOM', 'google': 'NASDAQ:QCOM', 'currency': 'USD'}]","{'founded': 1985, 'employees': 41000}",[],
52,Regeneron Pharmaceuticals Inc.,REGN,United States,"['NASDAQ 100', 'S&P 500']","['Biotechnology & Medical Research', 'Pharmaceuticals & Medical Research', 'Healthcare']","[{'yahoo': 'RGO.F', 'google': 'FRA:RGO', 'currency': 'EUR'}, {'yahoo': 'REGN', 'google': 'NASDAQ:REGN', 'currency': 'USD'}, {'yahoo': '0R2M.L', 'google': 'LON:0R2M', 'currency': 'GBP'}]","{'founded': 1988, 'employees': 8100}",[],
53,Ross Stores Inc.,ROST,United States,"['NASDAQ 100', 'S&P 500']","['Retailers', 'Apparel & Accessories Retailers', 'Specialty Retailers', 'Consumer Cyclicals']","[{'yahoo': 'RSO.F', 'google': 'FRA:RSO', 'currency': 'EUR'}, {'yahoo': 'ROST', 'google': 'NASDAQ:ROST', 'currency': 'USD'}, {'yahoo': '0KXO.L', 'google': 'LON:0KXO', 'currency': 'GBP'}]","{'founded': 1982, 'employees': 88100}",[],
54,Sirius XM Holdings Inc.,SIRI,United States,['NASDAQ 100'],"['Media & Publishing', 'Cyclical Consumer Services', 'Broadcasting', 'Consumer Cyclicals']","[{'yahoo': 'RDO.F', 'google': 'FRA:RDO', 'currency': 'EUR'}, {'yahoo': 'SIRI', 'google': 'NASDAQ:SIRI', 'currency': 'USD'}, {'yahoo': '0L6Z.L', 'google': 'LON:0L6Z', 'currency': 'GBP'}]","{'founded': 2008, 'employees': 4534}",[],
55,Skyworks Solutions Inc.,SWKS,United States,"['NASDAQ 100', 'S&P 500']","['Technology', 'Technology Equipment', 'Semiconductors & Semiconductor Equipment', 'Semiconductors']","[{'yahoo': 'AWM.F', 'google': 'FRA:AWM', 'currency': 'EUR'}, {'yahoo': 'SWKS', 'google': 'NASDAQ:SWKS', 'currency': 'USD'}, {'yahoo': '0L77.L', 'google': 'LON:0L77', 'currency': 'GBP'}]","{'founded': 2002, 'employees': 10017}",[],
