,name,symbol,country,indices,industries,symbols,metadata,isins,wiki_name
87,lululemon athletica inc.,LULU,Canada,['NASDAQ 100'],['Retail'],"[{'yahoo': 'LULU', 'google': 'NASDAQ:LULU', 'currency': 'USD'}, {'yahoo': '33L.F', 'google': 'FRA:33L', 'currency': 'EUR'}, {'yahoo': '0JVT.L', 'google': 'LON:0JVT', 'currency': 'GBP'}]","{'founded': 1998, 'employees': 19000}",[],lululemon athletica inc.
88,Marvell Technology Group Ltd.,MRVL,United States,['NASDAQ 100'],['Semiconductor'],"[{'yahoo': 'MVL.F', 'google': 'FRA:MVL', 'currency': 'EUR'}, {'yahoo': 'MRVL', 'google': 'NASDAQ:MRVL', 'currency': 'USD'}, {'yahoo': '0UBI.L', 'google': 'LON:0UBI', 'currency': 'GBP'}]","{'founded': 1995, 'employees': 5200}",[],Marvell Technology Group Ltd.
89,"Match Group, Inc.",MTCH,United States,"['NASDAQ 100', 'S&P 500']",['Online dating service'],"[{'yahoo': 'MTCH', 'google': 'NASDAQ:MTCH', 'currency': 'USD'}, {'yahoo': '4MGN.F', 'google': 'FRA:4MGN', 'currency': 'EUR'}]","{'founded': '', 'employees': 1700}",['US57667L1070'],"Match Group, Inc."
90,"Mercado Libre, Inc.",MELI,Argentina,['NASDAQ 100'],[],"[{'yahoo': 'MELI', 'google': 'NASDAQ:MELI', 'currency': 'USD'}]","{'founded': 1999, 'employees': 15500}",[],"Mercado Libre, Inc."
91,"Moderna, Inc.",MRNA,United States,"['NASDAQ 100', 'S&P 500']",['Biotechnology'],"[{'yahoo': 'MRNA', 'google': 'NASDAQ:MRNA', 'currency': 'USD'}, {'yahoo': '0QF.F', 'google': 'FRA:0QF', 'currency': 'EUR'}]","{'founded': 2010, 'employees': 1500}",['US60770K1079'],"Moderna, Inc."
92,"Okta, Inc.",OKTA,United States,['NASDAQ 100'],['Software'],"[{'yahoo': '0KB7.L', 'google': 'LON:0KB7', 'currency': 'GBP'}, {'yahoo': '0OK.F', 'google': 'FRA:0OK', 'currency': 'EUR'}, {'yahoo': 'OKTA', 'google': 'NASDAQ:OKTA', 'currency': 'USD'}]","{'founded': 2009, 'employees': 2379}",[],"Okta, Inc."
93,"Peloton Interactive, Inc.",PTON,United States,['NASDAQ 100'],['Exercise equipment'],"[{'yahoo': '2ON.F', 'google': 'FRA:2ON', 'currency': 'EUR'}, {'yahoo': '0A46.L', 'google': 'LON:0A46', 'currency': 'GBP'}, {'yahoo': 'PTON', 'google': 'NASDAQ:PTON', 'currency': 'USD'}]","{'founded': 2012, 'employees': 3281}",[],"Peloton Interactive, Inc."
94,Pinduoduo Inc.,PDD,China,['NASDAQ 100'],['Internet'],"[{'yahoo': '9PDA.F', 'google': 'FRA:9PDA', 'currency': 'EUR'}, {'yahoo': 'PDD', 'google': 'NASDAQ:PDD', 'currency': 'USD'}]","{'founded': '', 'employees': ''}",[],Pinduoduo Inc.
95,Seagen Inc.,SGEN,United States,['NASDAQ 100'],"['Biotechnology', 'pharmaceutical']","[{'yahoo': 'SGT.F', 'google': 'FRA:SGT', 'currency': 'EUR'}, {'yahoo': 'SGEN', 'google': 'NASDAQ:SGEN', 'currency': 'USD'}, {'yahoo': '0A8R.L', 'google': 'LON:0A8R', 'currency': 'GBP'}]","{'founded': 1997, 'employees': 1605}",[],Seagen Inc.
96,Splunk Inc.,SPLK,United States,['NASDAQ 100'],[],"[{'yahoo': 'S0U.F', 'google': 'FRA:S0U', 'currency': 'EUR'}, {'yahoo': 'SPLK', 'google': 'NASDAQ:SPLK', 'currency': 'USD'}, {'yahoo': '0R09.L', 'google': 'LON:0R09', 'currency': 'GBP'}]","{'founded': 2003, 'employees': 5800}",[],Splunk Inc.
97,"Workday, Inc.",WDAY,United States,['NASDAQ 100'],"['Cloud computing', 'Software']","[{'yahoo': 'WDAY', 'google': 'NASDAQ:WDAY', 'currency': 'USD'}, {'yahoo': '0M18.L', 'google': 'LON:0M18', 'currency': 'GBP'}, {'yahoo': 'W7D.F', 'google': 'FRA:W7D', 'currency': 'EUR'}]","{'founded': 2005, 'employees': 12500}",['US98138H1014'],"Workday, Inc."
98,"Zoom Video Communications, Inc.",ZM,United States,['NASDAQ 100'],[],"[{'yahoo': '5ZM.F', 'google': 'FRA:5ZM', 'currency': 'EUR'}, {'yahoo': 'ZM', 'google': 'NASDAQ:ZM', 'currency': 'USD'}, {'yahoo': '0A1O.L', 'google': 'LON:0A1O', 'currency': 'GBP'}]","{'founded': 2011, 'employees': 2532}",[],"Zoom Video Communications, Inc."
99,"CrowdStrike Holdings, Inc.",CRWD,United States,['NASDAQ 100'],['Information security'],"[{'yahoo': 'CRWD', 'google': 'NASDAQ:CRWD', 'currency': 'USD'}, {'yahoo': '45C.F', 'google': 'FRA:45C', 'currency': 'EUR'}, {'yahoo': '0A3N.L', 'google': 'LON:0A3N', 'currency': 'GBP'}]","{'founded': 2011, 'employees': 3163}",[],"CrowdStrike Holdings, Inc."
